station_key,datetime,Air Temperature (°C),Atmospheric Pressure (kPa),Relative Humidity (%)
mdamoies,2020-10-01,10.661770833333334,92.60885416666666,72.52016252631579
mdamoies,2020-10-02,12.991145833333333,92.30875,73.07557957894737
mdamoies,2020-10-03,12.204479166666667,92.13697916666666,72.430675625
mdamoies,2020-10-04,12.658541666666666,91.68666666666667,71.3003490625
mdamoies,2020-10-05,17.311979166666667,91.92239583333334,42.3762471875
mdamoies,2020-10-06,15.067083333333333,91.96916666666667,56.80700395833333
mdamoies,2020-10-07,15.777604166666666,91.61104166666667,60.79348322916667
mdamoies,2020-10-08,13.235520833333334,91.0425,64.06071375
mdamoies,2020-10-09,15.961354166666666,91.17645833333333,53.117284166666664
mdamoies,2020-10-10,11.53625,90.5628125,59.59054625
mdamoies,2020-10-11,9.721666666666666,91.05875,51.123186875
mdamoies,2020-10-12,9.202291666666667,91.18510416666666,69.4404121875
mdamoies,2020-10-13,5.780625,91.62427083333333,87.67759572916667
mdamoies,2020-10-14,9.873020833333333,91.6590625,54.18017947916667
mdamoies,2020-10-15,5.28625,92.7775,72.89843770833333
mdamoies,2020-10-16,8.505729166666667,92.17239583333334,58.026858125
mdamoies,2020-10-17,9.011875,91.34916666666666,86.31720520833333
mdamoies,2020-10-18,1.8389583333333333,91.83447916666667,91.70848956043956
mdamoies,2020-10-19,3.7752083333333335,91.5403125,96.61527958333333
mdamoies,2020-10-20,8.294166666666667,91.65239583333333,68.07197364583334
mdamoies,2020-10-21,5.4528125,91.40697916666667,70.21873708333334
mdamoies,2020-10-22,0.5825,92.42520833333333,70.73620916666667
mdamoies,2020-10-23,-2.569583333333333,92.41635416666666,84.88517364583333
mdamoies,2020-10-24,-3.5584375,91.88729166666667,84.23830635416667
mdamoies,2020-10-25,-14.397708333333334,93.2965625,75.6647623655914
mdamoies,2020-10-26,-17.030625,93.219375,80.03340079545454
mdamoies,2020-10-27,-6.308333333333334,92.656875,78.41424114583333
mdamoies,2020-10-28,-2.1590625,92.27083333333333,85.330275625
mdamoies,2020-10-29,1.7097916666666666,91.97510416666667,85.946455
